Anime,Rating,Start_Year,End_Year,Length_min,Rating_Scaled,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi,Short,Thriller
Fullmetal Alchemist: Brotherhood,9.1,2009.0,2010.0,24.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Attack on Titan,9.0,2013.0,2023.0,24.0,0.9777777777777779,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Hunter x Hunter,9.0,2011.0,2014.0,24.0,0.9777777777777779,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Bleach: Thousand-Year Blood War,9.0,2022.0,9999.0,24.0,0.9777777777777779,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ginga eiyû densetsu,9.0,1988.0,1997.0,25.0,0.9777777777777779,1,0,1,0,0,1,0,0,0,0,0,0,0,0
One Piece,8.9,1999.0,9999.0,24.0,0.9555555555555557,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ölüm Defteri,8.9,2006.0,2007.0,851.0,0.9555555555555557,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Cowboy Bebop,8.9,1998.0,1999.0,650.0,0.9555555555555557,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ginga: Nagareboshi Gin,8.9,1986.0,9999.0,25.0,0.9555555555555557,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Vinland Saga,8.8,2019.0,2023.0,24.0,0.9333333333333336,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Dragon Ball Z,8.8,1989.0,1996.0,24.0,0.9333333333333336,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Steins;Gate,8.8,2011.0,2015.0,24.0,0.9333333333333336,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Naruto: Shippûden,8.7,2007.0,2017.0,24.0,0.911111111111111,1,1,1,0,0,0,0,0,0,0,0,0,0,0
One Punch Man: Wanpanman,8.7,2015.0,2019.0,24.0,0.911111111111111,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Kenpuu Denki Berserk,8.7,1997.0,1998.0,23.0,0.911111111111111,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Monster,8.7,2004.0,2005.0,24.0,0.911111111111111,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Haikyuu!!,8.7,2014.0,2020.0,24.0,0.911111111111111,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Gintama,8.7,2005.0,2021.0,25.0,0.911111111111111,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Code Geass: Lelouch of the Rebellion,8.7,2006.0,2008.0,24.0,0.911111111111111,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Jujutsu Kaisen,8.6,2020.0,9999.0,24.0,0.8888888888888888,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Demon Slayer: Kimetsu no Yaiba,8.6,2019.0,9999.0,24.0,0.8888888888888888,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Mob Psycho 100,8.6,2016.0,2022.0,24.0,0.8888888888888888,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Fruits Basket,8.6,2019.0,2021.0,24.0,0.8888888888888888,0,0,1,1,0,1,0,0,0,0,0,0,0,0
JoJo's Bizarre Adventure,8.5,2012.0,9999.0,24.0,0.8666666666666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0
The End of Evangelion,8.5,1995.0,1996.0,24.0,0.8666666666666667,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Kaguya-sama: Love is War,8.5,2019.0,2023.0,24.0,0.8666666666666667,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Fullmetal Alchemist,8.5,2003.0,2004.0,24.0,0.8666666666666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Saint Seiya,8.5,1986.0,1989.0,24.0,0.8666666666666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ôsama Ranking,8.5,2021.0,2022.0,23.0,0.8666666666666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Nana,8.5,2006.0,2007.0,21.0,0.8666666666666667,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Kingdom,8.5,2012.0,9999.0,25.0,0.8666666666666667,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Kôkaku kidôtai: Stand Alone Complex,8.5,2002.0,2005.0,24.0,0.8666666666666667,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Robotech,8.5,1985.0,9999.0,30.0,0.8666666666666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Naruto,8.4,2002.0,2007.0,24.0,0.8444444444444446,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Spy x Family,8.4,2022.0,9999.0,24.0,0.8444444444444446,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Chainsaw Man,8.4,2022.0,9999.0,25.0,0.8444444444444446,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Mushoku-tensei ~Isekai ittara honki dasu~,8.4,2021.0,9999.0,24.0,0.8444444444444446,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Kahramanlık Akademim,8.3,2016.0,9999.0,24.0,0.8222222222222224,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Black Clover,8.3,2017.0,2021.0,24.0,0.8222222222222224,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Kiseijû: Sei no kakuritsu,8.3,2014.0,2015.0,22.0,0.8222222222222224,1,0,1,0,0,1,0,0,0,0,0,0,0,0
